марка;цвет;тип;мощность_лс;тип_привода;тип_кузова;пробег_км;год_выпуска;цена_руб
Audi;Зелёный;бензин;163;Передний привод;Седан;339000;2006;820000
Toyota;Чёрный;бензин;110;Передний привод;Универсал 5 дв.;304000;1998;310000
Toyota;Серый;гибрид;150;Передний привод;Седан;166195;2010;1250000
LADA;Белый;бензин;83;Полный привод;Внедорожник 3 дв.;31300;2024;815000
Honda;Коричневый;бензин;194;Передний привод;Внедорожник 5 дв.;97000;2014;2100000
Kia;Коричневый;дизель;112;Полный привод;Внедорожник 5 дв.;258244;2007;700000
Mercedes-Benz;Красный;бензин;571;Задний привод;Купе;32685;2010;32500000
BYD;Серебристый;электро;184;Передний привод;Внедорожник 5 дв.;23000;2022;3000000
Mercedes-Benz;Чёрный;бензин;122;Передний привод;Хэтчбек 5 дв.;176000;2017;1999999
Land;Зелёный;дизель;245;Полный привод;Внедорожник 5 дв.;338822;2012;1300000
Suzuki;Серый;бензин;107;Полный привод;Хэтчбек 5 дв.;255000;2008;580000
Hyundai;Чёрный;бензин;103;Передний привод;Компактвэн;84115;2008;800000
Mercedes-Benz;Чёрный;бензин;388;Полный привод;Внедорожник 5 дв.;506312;2012;1050000
Kia;Серый;дизель;197;Полный привод;Внедорожник 5 дв.;177000;2019;2500000
Infiniti;Серый;бензин;211;Задний привод;Седан;145000;2015;1500000
Ford;Серый;бензин;149;Передний привод;Седан;134000;2017;1950000
Volkswagen;Красный;бензин;102;Передний привод;Седан;275100;2008;365000
Mercedes-Benz;Белый;бензин;626;Задний привод;Купе;6284;2004;77000000
Kia;Синий;электро;110;Передний привод;Хэтчбек 5 дв.;109836;2017;1600000
Subaru;Белый;бензин;167;Полный привод;Универсал 5 дв.;281880;2000;500000
Mercedes-Benz;Синий;бензин;136;Передний привод;Хэтчбек 5 дв.;283600;2008;950000
Maserati;Серый;бензин;400;Задний привод;Седан;80000;2007;2000000
Volvo;Чёрный;бензин;210;Полный привод;Внедорожник 5 дв.;225600;2006;1090000
Infiniti;Чёрный;бензин;211;Задний привод;Седан;165000;2016;1850000
Hyundai;Чёрный;бензин;150;Передний привод;Внедорожник 5 дв.;176000;2013;1350000
Kia;Белый;бензин;67;Передний привод;Хэтчбек 5 дв.;25400;2022;1890000
Ford;Чёрный;бензин;317;Задний привод;Купе;78000;2019;3300000
Toyota;Серый;бензин;149;Передний привод;Внедорожник 5 дв.;200000;2020;2500000
Renault;Серый;бензин;150;Передний привод;Внедорожник 5 дв.;120600;2019;1850000
Voyah;Чёрный;электро;435;Полный привод;Минивэн;89200;2023;4500000
JETOUR;Белый;бензин;190;Передний привод;Внедорожник 5 дв.;9700;2024;2250000
Chery;Белый;бензин;113;Передний привод;Внедорожник 5 дв.;125019;2023;1052946
Chery;Белый;бензин;113;Передний привод;Внедорожник 5 дв.;118009;2023;1052946
LADA;Белый;бензин;98;Передний привод;Хэтчбек 5 дв.;540238;2009;185000
Nissan;Красный;бензин;117;Передний привод;Внедорожник 5 дв.;127500;2012;980000
Haval;Серый;бензин;190;Передний привод;Внедорожник 5 дв.;245525;2021;1233537
Toyota;Чёрный;дизель;235;Полный привод;Внедорожник 5 дв.;245650;2012;5050000
Peugeot;Серый;бензин;109;Передний привод;Универсал 5 дв.;123000;2004;500000
Acura;Серебристый;бензин;209;Передний привод;Седан;54100;2019;2020000
BMW;Чёрный;дизель;190;Задний привод;Седан;215000;2016;2100000
Ford;Серый;бензин;380;Полный привод;Внедорожник 5 дв.;150000;2018;5600000
Geely;Чёрный;бензин;238;Полный привод;Внедорожник 5 дв.;43794;2022;2499000
Infiniti;Чёрный;бензин;211;Задний привод;Седан;185000;2015;1800000
Honda;Белый;бензин;249;Полный привод;Внедорожник 5 дв.;187573;2011;2000000
Mitsubishi;Красный;бензин;95;Передний привод;Хэтчбек 5 дв.;270000;2006;235000
Infiniti;Белый;бензин;222;Полный привод;Внедорожник 5 дв.;169720;2015;1900000
Nissan;Чёрный;бензин;249;Полный привод;Внедорожник 5 дв.;215000;2013;1700000
Ford;Зелёный;бензин;160;Задний привод;Внедорожник 5 дв.;109000;1991;300000
Kaiyi;Белый;бензин;147;Передний привод;Седан;121199;2023;969000
Hyundai;Чёрный;бензин;123;Передний привод;Седан;169100;2015;965000
Nissan;Синий;бензин;144;Полный привод;Внедорожник 5 дв.;72000;2018;2200000
LADA;Чёрный;бензин;83;Полный привод;Внедорожник 3 дв.;21000;2023;1090000
Hyundai;Синий;бензин;123;Передний привод;Хэтчбек 5 дв.;285742;2013;500000
Mitsubishi;Серебристый;бензин;140;Передний привод;Внедорожник 5 дв.;145467;2014;1450000
Kia;Белый;бензин;107;Передний привод;Седан;119000;2017;850000
Opel;Чёрный;бензин;167;Полный привод;Внедорожник 5 дв.;205247;2012;850000
Honda;Красный;бензин;145;Полный привод;Внедорожник 5 дв.;207000;1997;755000
BMW;Серебристый;дизель;249;Полный привод;Седан;92000;2018;6400000
Volkswagen;Серый;бензин;150;Передний привод;Внедорожник 5 дв.;224000;2019;2190000
Citroen;Серый;бензин;147;Полный привод;Внедорожник 5 дв.;147500;2012;1050000
Jeep;Серебристый;бензин;182;Полный привод;Внедорожник 5 дв.;179000;2016;1500000
Renault;Синий;бензин;115;Передний привод;Компактвэн;189000;2005;450000
Volkswagen;Синий;бензин;150;Передний привод;Внедорожник 5 дв.;117000;2017;2270000
Volvo;Белый;бензин;190;Передний привод;Седан;72250;2021;3670000
УАЗ;Зелёный;бензин;128;Полный привод;Внедорожник 5 дв.;63000;2009;420000
Daewoo;Серый;бензин;109;Передний привод;Седан;60000;2011;390000
Land;Красный;дизель;180;Полный привод;Внедорожник 5 дв.;128898;2019;3538000
Seres;Зелёный;гибрид;487;Полный привод;Внедорожник 5 дв.;8058;2024;4902000
BMW;Серый;бензин;184;Полный привод;Внедорожник 5 дв.;40100;2021;5999000
Kia;Серебристый;бензин;122;Передний привод;Универсал 5 дв.;229138;2010;790000
LADA;Красный;бензин;84;Передний привод;Универсал 5 дв.;37000;2011;400000
Kia;Белый;бензин;123;Передний привод;Хэтчбек 5 дв.;57000;2020;2099000
Changan;Белый;бензин;181;Передний привод;Внедорожник 5 дв.;8907;2024;2450000
Mercedes-Benz;Чёрный;бензин;245;Полный привод;Внедорожник 5 дв.;130000;2018;3500000
Haval;Серый;бензин;190;Полный привод;Внедорожник 5 дв.;22876;2022;2230000
Volkswagen;Серебристый;бензин;110;Передний привод;Седан;143000;2016;1200000
Infiniti;Белый;бензин;405;Полный привод;Седан;100000;2016;2900000
Toyota;Серый;бензин;148;Полный привод;Внедорожник 5 дв.;354000;2012;1200000
Hongqi;Жёлтый;бензин;218;Полный привод;Внедорожник 5 дв.;73238;2023;2435000
Hongqi;Чёрный;бензин;218;Полный привод;Внедорожник 5 дв.;45247;2024;2440000
Honda;Коричневый;бензин;150;Полный привод;Внедорожник 5 дв.;61359;2012;2350000
Ford;Чёрный;бензин;249;Полный привод;Внедорожник 5 дв.;154000;2018;2750000
Geely;Серый;бензин;238;Полный привод;Внедорожник 5 дв.;33000;2024;3600000
Kia;Серый;бензин;150;Полный привод;Внедорожник 5 дв.;169000;2016;1550000
Toyota;Серый;дизель;177;Передний привод;Минивэн;140000;2020;3500000
Hongqi;Золотистый;бензин;218;Полный привод;Внедорожник 5 дв.;36300;2024;2630000
Mercedes-Benz;Белый;бензин;557;Полный привод;Внедорожник 5 дв.;167000;2013;2963000
Chery;Синий;бензин;147;Передний привод;Внедорожник 5 дв.;80000;2020;1550000
Lamborghini;Оранжевый;бензин;640;Полный привод;Купе;27615;2021;22990000
Toyota;Белый;гибрид;99;Передний привод;Минивэн;193000;2014;1700000
SWM;Серый;бензин;139;Передний привод;Внедорожник 5 дв.;34000;2024;1550000
Kia;Белый;бензин;140;Передний привод;Седан;154237;2023;1610000
Chevrolet;Чёрный;бензин;80;Полный привод;Внедорожник 5 дв.;94070;2014;630000
Audi;Коричневый;бензин;122;Передний привод;Хэтчбек 3 дв.;200270;2012;900000
Toyota;Чёрный;бензин;171;Полный привод;Внедорожник 5 дв.;25;2026;4980000
Nissan;Красный;бензин;165;Полный привод;Внедорожник 5 дв.;17600;2021;3590000
Hongqi;Белый;бензин;218;Полный привод;Внедорожник 5 дв.;40000;2023;2535550
Infiniti;Чёрный;бензин;211;Задний привод;Седан;135000;2017;2000000
Changan;Белый;бензин;226;Полный привод;Внедорожник 5 дв.;6000;2024;3101001
Opel;Чёрный;бензин;75;Передний привод;Хэтчбек 5 дв.;248900;2000;210000
Cadillac;Чёрный;бензин;276;Полный привод;Седан;132108;2013;2200000
Infiniti;Синий;бензин;211;Задний привод;Седан;135000;2019;2399000
Geely;Чёрный;бензин;238;Полный привод;Внедорожник 5 дв.;9000;2025;3950000
BMW;Оранжевый;бензин;136;Передний привод;Внедорожник 5 дв.;19000;2022;5000000
Volkswagen;Серебристый;бензин;110;Передний привод;Лифтбек;12000;2022;2150000
Chevrolet;Серебристый;бензин;115;Передний привод;Седан;224166;2012;395000
Infiniti;Серый;бензин;211;Задний привод;Седан;198000;2014;1570000
BMW;Чёрный;бензин;249;Задний привод;Кабриолет;117305;2017;2699000
Audi;Красный;бензин;450;Полный привод;Универсал 5 дв.;55000;2018;6590000
